,SCRS.TOTAL.LEVEL.NONE.Q.1@SCRS,SCRS.EQUITIES.ACTUALALLOCATION.NONE.Q.1@SCRS,SCRS.BONDS.ACTUALALLOCATION.NONE.Q.1@SCRS,SCRS.PRIVATEEQUITY.ACTUALALLOCATION.NONE.Q.1@SCRS,SCRS.PRIVATEDEBT.ACTUALALLOCATION.NONE.Q.1@SCRS,SCRS.REALASSETS.ACTUALALLOCATION.NONE.Q.1@SCRS,SCRS.HEDGEFUNDS.ACTUALALLOCATION.NONE.Q.1@SCRS,SCRS.TOTAL.ACTUALALLOCATION.NONE.Q.1@SCRS,SCRS.EQUITIES.TARGETALLOCATION.NONE.Q.1@SCRS,SCRS.BONDS.TARGETALLOCATION.NONE.Q.1@SCRS,SCRS.PRIVATEEQUITY.TARGETALLOCATION.NONE.Q.1@SCRS,SCRS.PRIVATEDEBT.TARGETALLOCATION.NONE.Q.1@SCRS,SCRS.REALASSETS.TARGETALLOCATION.NONE.Q.1@SCRS,SCRS.HEDGEFUNDS.TARGETALLOCATION.NONE.Q.1@SCRS,SCRS.TOTAL.TARGETALLOCATION.NONE.Q.1@SCRS
,Total Plan,"Actual Allocation, Public Equity","Actual Allocation, Bonds","Actual Allocation, Private Equity","Actual Allocation, Private Debt","Actual Allocation, Real Assets","Actual Allocation, Portable Alpha Hedge Funds","Actual Allocation, Total Plan","Target Allocation, Public Equity","Target Allocation, Bonds","Target Allocation, Private Equity","Target Allocation, Private Debt","Target Allocation, Real Assets","Target Allocation, Portable Alpha Hedge Funds","Target Allocation, Total Plan"
2023-Q4,"42,470",44,22.2,13.1,9.1,11.6,11.7,100,46,26,9,7,12,NA,100
2024-Q1,"44,031",44.5,23.1,13,8.5,10.9,11.1,100,46,26,9,7,12,NA,100
2024-Q2,"44,875",43.9,23.8,13.1,8.2,10.9,11,100,46,26,9,7,12,NA,100
2024-Q3,"47,091",44.6,25,12.7,7.2,10.5,10.2,100,46,26,9,7,12,NA,100
2024-Q4,"46,857",43.9,24.6,13.1,7.3,11.1,10.1,100,46,26,9,7,12,NA,100
2025-Q1,"47,200",45.7,22.6,13.3,7.3,11.1,9.9,100,46,26,9,7,12,NA,100
2025-Q2,"50,339",43.7,25.4,13.3,6.9,10.7,9.4,100,46,26,9,7,12,NA,100
2025-Q3,"52,647",43.6,26.9,12.6,6.7,10.2,9.5,100,43,25,12,8,12,NA,100
2025-Q4,"53,914",43.7,25.9,12.9,6.9,10.5,10,100,43,25,12,8,12,NA,100
2026-Q1,"53,574",42.9,24.8,13.8,7.7,10.8,11.6,100,43,25,12,8,12,NA,100